topic: 美国时间2020年8月18日，乔·拜登正式成为2020年美国民主党总统候选人。8月19日，卡玛拉·哈里斯成为2020年美国民主党副总统候选人。
厉害了 82
这个厉害了 33
厉害 29
这个好 26
厉害厉害 26
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 22
这个可以有 20
这个不错 12
这是什么梗 11
你说的对 9
你这个厉害了 9
厉害了厉害了 9
我觉得ok 8
这个厉害 8
这个可以 8
哈哈哈，厉害了 5
你说得对 5
这是什么梗啊 5
我也是 5
我觉得可以 5
我不信 5
你是真的皮 5
这是啥？ 4
你说什么？ 4
这是什么鬼 4
这是真的 4
哈哈，厉害了 4
这是真的吗 4
这个好！ 4
这是什么梗？ 4
这么快 4
你是最棒的 4
你是最棒的！ 4
这是啥 3
我不知道 3
哈哈哈哈哈哈哈哈哈！ 3
这是个好消息 3
你好厉害 3
厉害厉害厉害 3
我们不一样 3
厉害了。 3
这是真的吗？ 3
这个可以有！ 3
这个厉害了！ 3
我觉得这个好 3
这是什么情况 3
这么厉害 3
这么久 3
这么快！ 3
这是个什么情况？ 3
这个不错！ 3
你是不是有病 3
这是啥意思？ 3
你说的是真的吗？ 2
我是来看热闹的 2
你这个厉害 2
我不知道你在说什么 2
哈哈哈哈哈哈哈哈哈哈哈哈哈笑死了 2
你是在搞笑吗 2
这是啥意思 2
我不知道我不知道 2
哈哈哈哈哈哈笑死 2
这是什么意思？ 2
哈哈哈哈哈笑死了 2
你这是什么意思？ 2
你是真爱啊 2
这是一个悲伤的故事 2
哈哈哈哈哈哈哈笑死我了 2
你是不是在搞笑 2
你说的是什么鬼 2
我们都懂 2
哈哈哈，你赢了 2
我也要 2
我们都知道了 2
你这么一说好像是的 2
厉害！ 2
哈哈哈哈哈，你这个厉害了 2
这么多人 2
这是什么？ 2
你是不是想说这个 2
我觉得这个可以有 2
你是最好的 2
你说啥 2
哈哈哈哈哈，笑死我了 2
哈哈哈哈，笑死了 2
这就厉害了 2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死了 2
你说的对！ 2
我觉得你说的很有道理 2
我也看到了 2
你是我的眼 2
你说的是我 2
哈哈，这个好 2
这个真的有效吗？ 2
哈哈哈，你真逗 2
这是啥意思啊 2
你这是在哪里看的 2
这个好。 2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了 2
哈哈哈哈哈哈哈哈哈哈哈哈哈笑出声 2
你说得对。 2
这个可以的 2
你说的很对 2
这个真心赞 2
你好！ 2
哈哈哈哈，厉害了 2
哈哈哈哈哈笑死 2
你说的好有道理 2
哈哈哈！ 2
这是什么鬼？ 2
这个可以有。 2
你是不是在逗我 2
这么久了 2
哈哈哈哈哈哈笑死我了 2
你这一下把我说服了 1
哈哈哈哈，我服了。 1
哈哈哈哈哈笑岔气 1
哈哈，我也是这么想的 1
这么厉害，不知道能不能看见，不过我看过，我们的国家是不能让人失望 1
这就是我想问的 1
你说得太对了 1
我是说真的吗 1
你好像很懂哦 1
哈哈哈哈哈哈，你太逗了！ 1
哈哈哈哈哈，笑死 1
你这个名字有点厉害 1
哈哈，你真聪明。 1
这就厉害了！ 1
我们都是一家的，不是一个人 1
哈哈哈哈哈哈哈，这个厉害了 1
这是个好消息，但是，如果不是，那么我们的目标就不能成功 1
你们的意见是怎样的? 1
我们不是在讨论这个，而是在讨论 1
你这个名称有点意思，我看不懂 1
这么快就当了总统了？ 1
哈哈，你这个厉害了 1
你这么一说我想起来了，你这么说我想起来了 1
这么厉害？ 1
哈哈哈哈哈哈，你这个厉害了 1
你们都是我的骄傲 1
我是真的不知道你们在说什么 1
哈哈哈哈哈哈哈哈哈你好优秀 1
你说的这些都是我的真心话！！！ 1
你这个名字好！ 1
这么快就成总统了？我们的时间好像是反的 1
你这样说真的好吗？？ 1
我觉得可能性很小 1
我也觉得是。 1
哈哈哈哈这个厉害 1
你这个名字很有深度 1
哈哈哈哈哈哈哈，笑死我了，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 1
这么快就被发现了。。。 1
你好，你是哪位？ 1
这样的话我就可以在家里看直播了，我要听你说 1
这么厉害的？ 1
哈哈，好吧，你说的都对 1
你好，我想问一下，这个是真的吗？ 1
你好厉害，你是最厉害的，加油 1
你好，我是新来的 1
哈哈哈哈哈哈哈哈哈笑死 1
我不管，反正我是不会被淘汰的 1
你说这话我不服 1
你好厉害！ 1
你这是在黑人吗 1
你好，你好，你好 1
哈哈哈哈哈哈这样 1
我们的时差 1
哈哈哈哈哈哈哈哈哈！！！ 1
哈哈哈哈哈，我也看过这集 1
哈哈哈哈哈哈哈，我笑出声 1
我是第二个 1
哈哈哈哈哈哈哈这是什么梗？ 1
你这样说我有些怕怕的，这个世界怎么会有这么大的奇迹？ 1
哈哈，你这名字改的。。。 1
厉害厉害，厉害了 1
哈哈哈哈哈哈哈你这一本正经的胡说八道 1
你好，我们可以交流一下吗？ 1
哈哈哈哈哈哈这个厉害 1
厉害了，我们都是这么想的 1
哈？你这是在搞笑吗 1
这是一个悲伤的故事。 1
你这个比喻，有点过 1
哈哈哈哈哈哈哈哈哈哈哈哈，这个笑了 1
我不是在这里回复的，我是在这里回复的，你是在这里回复的 1
我们一定要把这个消息告诉大家 1
这么久，你都能记住这个梗，真是厉害了！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝 1
我们都是一个世界的 1
你是我们的骄傲 1
你这样做，你会被打的，你知道吗？ 1
你这个回复很好 1
哈哈哈哈哈，厉害厉害 1
这样啊，谢谢！ 1
你这样的，一看就是没看过《美队2》，我觉得很不错啊 1
哈哈哈，你真的要笑死我，哈哈 1
这么久，我还以为你说的是我呢，哈！ 1
哈哈哈，你真可爱 1
哈哈哈哈哈哈哈哈，我看成了“哈哈哈哈” 1
这么久了还没搞懂 1
哈哈，这个可以有 1
哈哈哈，我笑了。 1
哈哈，这个可以有，我们都是美人。 1
这个不错，哈哈。。。我们这边也不是很懂 1
这么说来，我也有点慌了 1
我也要看看你的资料，看来我们是同一批人 1
你说这个有用？ 1
我们的国籍都统一了 1
我不是说了嘛，我说的不是你，是那个人 1
你说的好！！！ 1
你好，请问你是？ 1
我也觉得很像 1
厉害了，我看成了美国时间2021年，哈哈哈 1
你说的对，不过我不知道你是不是我的同伴 1
你这个人真的是太搞笑了哈哈 1
我是说这个 1
你们的名字都很有趣 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！！ 1
哈哈，我就不信你一辈子都不会成为总统 1
我们都是这么过来的，不是吗？ 1
你好，我的名字就是这个 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，你真是个戏精 1
这就是你的理由？ 1
这么快就成立啦？ 1
这是啥梗 1
我是不是应该把这段记录删了，因为我的记忆力有限 1
你这么一说，我想起来了，你的签名是“一位美好的名号”。。。 1
你说什么我没听懂 1
这样的话，我们会被抓起来。 1
你好厉害，哈哈哈！我看了好几遍才看懂 1
这是啥梗？ 1
你这是要搞什么 1
你这是要笑死我啊哈哈哈哈哈哈 1
我也是，我也是 1
我是真的服气 1
哈哈哈哈哈哈哈哈哈，你真的太搞笑了 1
这就很厉害 1
哈哈哈哈哈哈哈哈哈哈哈哈，这是我听过最搞笑的事情了 1
这个可能性有点大，但是我不知道我是怎么想 1
哈哈哈哈哈哈你赢了 1
我们不是在这里吗? 1
哈哈。这个名字好！ 1
你这个名字很熟悉！我一直以为是你！ 1
这样子，你就不能再给我说清楚一次？ 1
你这样说，让我很慌啊。 1
你好，这个我看不懂 1
我不信，你说的是真的 1
我也想问 1
哈哈哈哈哈哈哈哈哈哈哈哈笑出猪叫 1
我也觉得很好 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了！ 1
你说的好像很有道理 1
这么快就有新的名单了 1
你说的这些，都不是真实的 1
这么说来我也是了 1
我们一起等待 1
我不管我要当总统 1
我觉得你说得很有道理 1
