topic: 美国暴力执法，黑人遭枪击，身中20枪，身亡。
哈哈 18
你是不是傻 16
不是吧 14
这么惨 9
不会吧 8
这个是真的 7
这么恐怖 6
你说的对 6
你是哪国的？ 6
这个好 6
我也是 6
这么严重？ 5
不是吧？ 5
这么严重 5
这么厉害 5
你说的是哪国？ 4
这是什么情况 4
不是黑人 4
这是什么梗 4
你是在搞笑吗？ 4
你说得对 4
这是真的吗？ 4
你不是一个人 4
不能说的秘密 4
这是什么情况？ 4
你是哪国人？ 4
这样啊 4
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 4
你是不是有病 4
这是啥？ 3
哈哈。 3
这是真的， 3
你是怎么知道的？ 3
你是哪个国家的？ 3
这是什么电影？ 3
这么惨？ 3
不要以偏概全 3
不是这个 3
这是什么梗？ 3
这么严重啊 3
我也觉得 3
你不要吓我 3
不要这样 3
我也看到了 3
你这是什么逻辑 3
这个我服 3
你不知道？ 3
你说的很对 3
哈哈哈。。 2
这是真的 2
我也是这么想的 2
不能忍 2
我们要做的就是保护自己 2
你这么说，你的小伙伴们知道吗？ 2
这个我知道 2
你是哪国人啊 2
你说这个？ 2
这个不错 2
这是啥意思 2
你是不是想死 2
你是不是有病？ 2
你这是什么理论？ 2
这是真事 2
这是哪个国家的？ 2
你说得对！ 2
哈哈， 2
你是哪国来的 2
你说什么？ 2
不是吧！ 2
你说的是哪国 2
你是在哪里？ 2
这是什么逻辑？ 2
这个是真的！ 2
你是在说我吗？ 2
你是哪国的啊？ 2
哈哈哈哈你太可爱了 2
你是不是有病啊？ 2
这样不好 2
你是说你吗？ 2
这是哪 2
你是不是傻啊？ 2
你是说我？ 2
我不知道 2
这么多 2
我觉得是你 2
这么惨的吗 2
你这个比喻好 2
不会吧？ 2
这样子 2
你这是要闹哪样啊 2
你这是要笑死我 2
我也想说这个 2
你是怎么看出来的 2
我觉得你说的对 2
我也想说 2
你的意思是你是黑人？ 2
你是在说什么？ 2
你这是要搞事情啊 2
我也想看 2
这个不是美国的 2
你是怎么知道的 2
不会的。 2
你是说我吗？ 2
不要这么恶毒 2
这个我不知道 2
这个不算 2
你是怎么了，这么严重 1
你这样说话，会遭天谴的！！！！！ 1
你是怎么想到这么多的。。。。 1
这个我不太清楚 1
你是在黑我们吗 1
我们的国旗不能丢啊 1
不是黑色血族么 1
不能更赞同了， 1
我觉得这是个悲剧 1
我们要做的就是不要这样做！ 1
我们国家的黑人都是这样的吗？ 1
我也是，我也想看 1
这么严重？？ 1
我们国家的警官也很帅 1
你这个说法太残忍 1
哈哈哈哈哈哈哈哈哈哈哈笑出猪声 1
你这是要干嘛啊 1
我也觉得是，但是这个案件确实是真的！ 1
你是在哪里看到的 1
这个好像是个新的故事 1
你是不是在说自己？ 1
哈哈。。。 1
你说的是哪个国家 1
你的心理是有多阴暗啊。。 1
不会吧！！！这样的 1
你是说你自己吗 1
你是不是也有病？ 1
这个真的是 1
哈哈哈，你好可爱 1
你不要以偏概全 1
我也看见了 1
我也看到啦 1
这个真没看过 1
这样不好，我们都是黑人 1
你这个不算黑，但我觉得是真黑。 1
你说这些话，不怕遭雷劈吗？ 1
这个不是真的吧 1
这个真是 1
这样啊，我看看 1
不是黑人，是黑人的家人！ 1
你的意思是说，你的国家不是黑人的家？？ 1
这是什么情况，不是说不能用枪击来形容吗 1
不是黑人，是一种黑，不知道是什么东西，不过很好玩！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，这么可怕吗？ 1
哈哈哈，我也看过 1
你不会也遭枪击吧？ 1
我觉得你这话没啥道理 1
你的意思是说，你被枪击？ 1
不是黑色的枪击，是黑白双色的枪击，这种情况，黑白的枪击都不算黑 1
你这种智商，我也是呵呵了 1
我觉得你说得很正确 1
你这个是真的？ 1
你说的太对了。。 1
我们的国家是美好的，但是我们要保护自己的家庭 1
你是怎样判断这个案子的？ 1
哈哈哈哈！！ 1
你这么一说，我想起来，我还以为你说的是那个黑人呢 1
你不要乱讲， 1
不要说的这么恐怖，这种事还是少做好了 1
我们不知道你们的情况 1
你这么说也是醉了。。。。 1
你这是在搞笑么？ 1
你不是说黑人不能杀吗？ 1
哈哈，这么厉害的 1
哈哈，好像有点厉害的样子 1
哈哈，这么恐怖？ 1
你不是在这边么？ 1
这个我知道啊，我也在看。 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑晕了 1
我看的是黑色幽默 1
这个不是重点吧 1
你这是要干啥啊 1
你是哪国的啊 1
不知道为什么有些人说的这么恐怖。。。 1
哈哈哈哈哈，笑死 1
我也是，看到那么多人，心里好难受，好害怕 1
你说的很对， 1
你的脑子呢 1
哈，你也看了啊？ 1
你说的是什么鬼 1
你这是要笑死我啊。。 1
这个不是重点，重点是你的言论和观点！ 1
你说的对！ 1
这是真的吗？？ 1
你是哪里的人？ 1
你不要这么说，你的意思是你被枪击了，你也不能这么说，你是在说你自 1
你不要吓我，我不知道啊 1
你这是怎么了？ 1
这样啊，那还好 1
不知道你们是什么时候看过的，你可以去看看。 1
这种情况下还要黑？？？？ 1
你的意思是，你的意思是，你要被杀？ 1
我看你就是个弱智 1
不知道你在说什么呢？不知道你在说什么呢？ 1
我也想到过。。。 1
你说的对， 1
你是不是也在这儿？ 1
这是什么逻辑？？？ 1
我也是醉了 1
你这是在干嘛？ 1
我看的是电视剧 1
你的脑回路真奇特 1
这样的事情发生在你身上就是最大的报应了 1
你说的是什么？ 1
你这个不是重点。。。 1
你说什么我听不见，你说什么我听不见 1
你是怎么知道的呢？ 1
这样的事情，我们不要做，不要做。 1
你这个人，就是这样的， 1
你这是要笑死我啊 1
这个不是黑人，这是国家的一种宣传 1
这么惨， 1
你这个比喻很有意思。但是我还是觉得很搞笑。 1
我们的人质被枪杀。 1
你是不是想说，你身上有20枪！？ 1
你这么说，我也觉得有点可怕 1
不会吧，怎么这样？ 1
哈哈哈哈哈，好惨 1
哈哈，你好可爱。 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你好惨啊哈哈哈哈哈哈 1
这个我知道，这个我不知道 1
你是在哪里看到这个的？ 1
哈哈哈，你也看了 1
哈哈，好可怕啊！ 1
你说的很对！ 1
我们的国家不是这样的。 1
这个我知道。但是这个案子我不知道。 1
你这种人，活的好惨。 1
这个真的很可怕 1
我觉得你说的很对啊 1
你说的这么恐怖，我还以为你是那些人 1
这个我知道，但是为什么要这么说呢？ 1
这么惨啊 1
哈哈哈哈，我也觉得， 1
我们的目的达到了吗？ 1
不会吧，这么可怕 1
你是说我吗，不好意思 1
不是一个国家的人，怎么就会受到这么多伤害 1
这个真的是很恐怖的 1
我不是黑人 1
你这个不是黑人 1
你说的这些都不是真的吧。 1
这么恐怖的吗？ 1
不是吧！！ 1
这么严重，你还好不？ 1
我看了，我是真的看不下去了 1
你说这些话是想要什么 1
你这样子说，你是想表达什么？？？ 1
我们不会死在这个地方的。 1
这个不是重点 1
我看到了，这个我也看过 1
哈哈哈哈哈哈哈哈，这是一个悲伤的故事 1
你不说，我还真没注意到这点！ 1
我们不能这样，我们要保护自己 1
你的意思是，黑人遭枪击是事实咯？ 1
这是真事？ 1
你的意思是，你在国外被枪击，你也遭受了？ 1
这么厉害的啊 1
我也觉得这是黑人的天下 1
你是哪个国家的人？ 1
你的思想真是…… 1
你这种人，就该被黑，这样不好 1
不是吧。 1
你这么说，我也是醉了 1
不是说这个 1
你是在说自己吗？ 1
你这是在搞什么啊？ 1
你说的这些事都没发生在国外，我们也没发生过，你说这些事，我们也没 1
我也想说的是 1
我们的国家不是这样 1
这个真不敢说 1
我不知道你在说啥，反正我是听不懂 1
不能这样说，不然你会后悔的。 1
不是黑人，是外国人， 1
哈哈哈哈哈哈！！！！！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈笑死！ 1
我看到了，不过我没看懂 1
你不会看到这条新闻吧。 1
这个好像很多人都做过 1
你不知道的还有很多，你去查查 1
哈哈哈哈你这个笑死我了哈哈哈 1
我看到的时候，已经被打了好多枪 1
你这么厉害 1
不是一次两次了。。 1
这样啊，那就是不对喽。 1
你这样说话不怕被报复么 1
我不是黑人，但是我不喜欢这种事 1
不会是你把 1
我看了，真心不好看。 1
你是不是也有这种感受？ 1
我也是看到那些人才发现了 1
我也是这么觉得的 1
这种事发生多了你们都知道 1
这种情况，国家会不会处理 1
我们国家不会有暴力执法的。 1
我不是这意思，我的意思是这件事情，我只是想说一下我的看法。。不是 1
哈哈，这个好 1
你是不是想说你身上全是枪？ 1
你的心理是不是扭曲的 1
不是说你自己吧？ 1
哈哈哈，好像是 1
你的脑子被驴踢了？ 1
这么惨啊！ 1
我觉得你这个比我想象中的还严重 1
我们要看到最后一句 1
不是吧！这样子！！！！！！ 1
哈哈哈你太逗了 1
你的脑子呢？ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈，你这个人真可怕 1
我也想到这个 1
你的意思就是说黑人遭枪击，你还不知道？ 1
你这样一说还真是 1
我们的军队在那里，我不知道 1
你的意思是，我的意思是。 1
哈哈哈哈！ 1
不要以为你们这些人是什么都能当的 1
你是怎么看出来是暴击的? 1
你这个说法很危险 1
你是在搞笑吗 1
你是不是在国外？ 1
这个不能信 1
这个我知道，但是这个不可信，你说的是真的还是假的 1
这是哪里啊，我怎么不知道 1
我也是这样认为的。 1
哈哈，你也看了？ 1
不会是你吧！哈哈 1
哈？？这不是事实吗？ 1
我看了好几遍才懂 1
你不是说不能杀，但是你说了不能杀，你说了不能杀，你说了不能杀。 1
不是说这个，是真的 1
不要乱说 1
你这种人就是欠揍 1
这种事你也干过啊？ 1
这么恐怖，那我要去看看 1
我们要怎么处置他们？ 1
这个我知道，但是这是真的吗？ 1
我觉得也是 1
不能更赞同。 1
不知道为什么，总感觉是国际法上的事儿……… 1
我看到这个新闻了，好可怕，我还以为是你们国家 1
你这么一说感觉好像是这样。。 1
我们不会死，你们不要死 1
你这是什么意思啊， 1
我也是这么觉得的。。。 1
我看你是疯了 1
这个我不知道，但是他们的行为很残忍啊 1
哈哈哈，我就服你 1
这种事你也信 1
你的意思是说你是黑人？你是不是也要被打？ 1
不要这么说，你的家人会被杀的，你不要这么说，你的家人会被杀的， 1
你是在开玩笑吗 1
你是不是想死。。 1
这个好像是个人都能遭枪击的吧… 1
我们这里暴风雪 1
我看了，好恐怖 1
我们国家的国耻是什么？ 1
哈哈哈哈哈哈哈你好惨 1
这么多人啊！好恐怖 1
我觉得这种事情发生在我们身上，不是一件好事 1
我们的军力不足 1
哈哈，你是在逗我？ 1
